 ,Area,Perim.,Circ.,d1,d2,D1divD2,DC
1,0.047,1.101,0.485,0.454,0.217,2.088,0.314
2,0.014,0.438,0.929,0.158,0.130,1.213,0.144
3,0.029,0.648,0.877,0.248,0.171,1.453,0.206
4,0.557,7.475,0.125,1.766,0.730,2.418,1.135
5,0.020,1.108,0.203,0.448,0.152,2.945,0.261
6,0.026,0.804,0.506,0.354,0.127,2.781,0.212
7,0.119,1.774,0.474,0.557,0.454,1.225,0.503
8,0.006,0.328,0.719,0.158,0.043,3.640,0.083
9,0.029,0.655,0.844,0.254,0.152,1.666,0.196
10,0.031,1.208,0.265,0.567,0.087,6.519,0.222
11,0.856,12.113,0.073,3.179,0.983,3.234,1.768
12,0.040,1.155,0.379,0.507,0.175,2.893,0.298
13,0.371,5.232,0.170,1.176,0.782,1.503,0.959
14,0.149,2.425,0.319,0.896,0.445,2.015,0.631
15,0.017,0.525,0.798,0.222,0.109,2.040,0.155
16,0.020,0.538,0.884,0.224,0.130,1.716,0.171
17,0.048,1.131,0.473,0.446,0.206,2.167,0.303
18,0.143,1.792,0.559,0.649,0.414,1.567,0.518
19,0.011,0.420,0.809,0.175,0.087,2.016,0.123
20,0.039,1.101,0.407,0.483,0.130,3.701,0.251
21,0.024,0.612,0.793,0.264,0.109,2.433,0.170
22,0.443,5.732,0.169,1.430,0.957,1.493,1.170
23,0.021,0.525,0.949,0.194,0.152,1.278,0.172
24,0.158,2.251,0.393,0.787,0.422,1.868,0.576
25,0.132,2.802,0.212,1.154,0.283,4.083,0.571
26,0.014,0.425,0.953,0.166,0.130,1.269,0.147
27,0.010,0.532,0.461,0.243,0.065,3.727,0.126
28,0.101,1.646,0.469,0.609,0.364,1.673,0.471
29,0.277,4.041,0.213,1.025,0.647,1.585,0.814
30,0.064,0.937,0.919,0.351,0.261,1.344,0.303
31,0.196,2.968,0.279,0.762,0.633,1.205,0.694
32,0.036,0.722,0.866,0.292,0.196,1.495,0.239
33,0.349,5.711,0.134,1.451,0.646,2.247,0.968
34,0.005,0.328,0.609,0.154,0.043,3.536,0.082
35,0.152,2.242,0.380,0.777,0.358,2.169,0.527
36,0.067,1.104,0.687,0.467,0.224,2.087,0.323
37,0.030,0.686,0.808,0.275,0.152,1.807,0.205
38,0.037,0.852,0.637,0.371,0.144,2.583,0.231
39,0.012,0.382,1.000,0.146,0.123,1.186,0.134
40,0.014,0.451,0.877,0.175,0.130,1.344,0.151
41,0.081,1.406,0.517,0.591,0.223,2.652,0.363
42,0.121,1.613,0.587,0.618,0.322,1.922,0.446
43,0.054,0.965,0.734,0.406,0.174,2.335,0.266
44,0.032,0.673,0.891,0.265,0.182,1.457,0.220
45,0.093,1.592,0.461,0.585,0.326,1.796,0.437
46,0.029,0.814,0.555,0.333,0.152,2.185,0.225
47,0.164,2.901,0.244,0.757,0.574,1.318,0.659
48,0.013,0.456,0.800,0.205,0.108,1.906,0.149
49,0.233,2.404,0.506,0.919,0.431,2.132,0.630
50,0.133,2.015,0.413,0.812,0.272,2.989,0.469
51,0.066,1.196,0.577,0.477,0.231,2.070,0.332
52,0.102,2.105,0.290,0.883,0.296,2.981,0.511
53,0.086,1.265,0.672,0.497,0.268,1.854,0.365
54,0.062,0.975,0.824,0.380,0.239,1.590,0.301
55,0.092,1.572,0.466,0.571,0.378,1.510,0.464
56,0.012,0.376,1.000,0.146,0.109,1.342,0.126
57,0.112,1.339,0.782,0.513,0.318,1.613,0.404
58,0.019,0.525,0.884,0.227,0.109,2.088,0.157
59,0.035,0.722,0.843,0.303,0.174,1.741,0.229
60,0.129,1.613,0.626,0.636,0.304,2.095,0.440
61,0.050,0.863,0.845,0.351,0.214,1.642,0.274
