 ,Area,Perim.,Circ.,d1,d2,D1divD2,DC
1,0.216,3.773,0.191,1.249,0.450,2.775,0.750
2,0.062,1.426,0.381,0.625,0.209,2.991,0.361
3,0.003,0.258,0.637,0.112,0.060,1.886,0.082
4,3.484,45.282,0.021,5.373,3.107,1.729,4.086
5,0.130,2.653,0.231,0.993,0.364,2.727,0.601
6,0.008,0.580,0.299,0.281,0.035,8.016,0.099
7,0.010,0.564,0.401,0.246,0.088,2.807,0.147
8,1.282,19.868,0.041,4.293,1.338,3.210,2.396
9,0.007,0.349,0.730,0.150,0.069,2.158,0.102
10,0.313,3.687,0.289,1.046,0.789,1.326,0.909
11,0.107,2.552,0.206,0.745,0.391,1.907,0.540
12,0.024,0.684,0.654,0.272,0.123,2.218,0.183
13,0.037,1.023,0.440,0.456,0.143,3.187,0.256
14,0.009,0.409,0.647,0.183,0.070,2.610,0.113
15,0.006,0.289,0.879,0.112,0.088,1.281,0.099
16,0.193,2.688,0.336,0.720,0.526,1.368,0.616
17,0.013,0.498,0.655,0.217,0.104,2.082,0.150
18,0.120,2.415,0.259,0.691,0.422,1.636,0.540
19,0.014,0.413,0.996,0.157,0.123,1.278,0.139
20,0.040,0.942,0.571,0.375,0.188,1.994,0.266
21,0.185,3.856,0.156,1.526,0.389,3.923,0.770
22,0.146,1.998,0.460,0.699,0.422,1.655,0.543
23,0.020,0.723,0.481,0.323,0.104,3.106,0.183
24,0.014,0.508,0.659,0.214,0.114,1.876,0.156
25,0.004,0.345,0.390,0.162,0.035,4.610,0.075
26,0.152,3.449,0.161,1.075,0.519,2.072,0.747
27,0.075,1.134,0.731,0.386,0.281,1.376,0.329
28,0.014,0.564,0.547,0.255,0.087,2.935,0.149
29,0.068,1.122,0.682,0.455,0.240,1.897,0.330
30,0.423,6.451,0.128,1.389,0.996,1.395,1.176
31,0.065,1.500,0.363,0.474,0.273,1.737,0.360
32,0.026,0.622,0.830,0.220,0.164,1.344,0.190
33,0.158,2.758,0.261,0.614,0.519,1.182,0.565
34,0.019,0.519,0.906,0.186,0.158,1.181,0.172
35,0.128,2.454,0.267,0.804,0.401,2.003,0.568
36,0.039,0.762,0.845,0.261,0.211,1.239,0.234
37,0.019,0.744,0.441,0.335,0.100,3.348,0.183
38,1.333,16.774,0.060,2.943,2.264,1.300,2.581
39,0.028,0.793,0.566,0.323,0.153,2.109,0.223
40,0.026,0.752,0.588,0.323,0.157,2.061,0.225
41,0.270,4.535,0.165,1.173,0.664,1.767,0.883
42,0.017,0.463,0.975,0.183,0.123,1.491,0.150
43,0.056,1.322,0.405,0.529,0.173,3.055,0.303
44,0.318,7.261,0.076,1.949,0.593,3.285,1.075
45,0.036,0.787,0.737,0.306,0.181,1.695,0.235
46,3.801,41.678,0.027,8.226,1.697,4.847,3.736
47,0.008,0.399,0.633,0.176,0.070,2.512,0.111
48,0.079,1.816,0.301,0.717,0.256,2.803,0.428
49,0.034,0.839,0.600,0.370,0.123,3.014,0.213
50,0.042,0.752,0.937,0.277,0.212,1.309,0.242
51,2.818,24.404,0.059,4.847,2.254,2.150,3.305
