level,Radio_with_normalized_depth_%
0,38.9677
1,40.5161
2,40.1290
3,40.1290
4,39.5484
5,38.5806
6,38.1290
7,37.6129
8,37.3548
9,37.5484
10,38.0645
11,38.3871
12,37.5484
13,37.1613
14,38.1290
15,38.5161
16,39.0323
17,39.0968
18,40.1936
19,39.4839
20,38.9032
21,37.2903
22,37.2258
23,35.9355
24,33.8710
25,33.7419
26,33.2903
27,33.6774
28,33.0323
29,33.4839
30,34.6452
31,36.1936
32,36.2581
33,37.0323
34,38.7742
35,38.5806
36,38.7097
37,38.1290
38,37.7419
39,37.5484
40,38.9677
41,40.3871
42,41.1613
43,40.4516
44,42.0645
45,41.7419
46,40.9677
47,40.8387
48,40.2581
49,41.1613
50,40.3871
51,39.7419
52,39.9355
53,40.0645
54,41.3548
55,42.7097
56,41.4839
57,40.7742
58,40.5806
59,39.2258
60,39.7419
61,40.0000
62,39.8710
63,40.0000
64,41.0323
65,41.2903
66,40.4516
67,40.7097
68,40.8387
69,41.4194
70,41.3548
71,42.3226
72,42.3871
73,42.1290
74,42.6452
75,42.0645
76,42.4516
77,42.3871
78,42.5806
79,42.7097
80,41.4839
81,39.4839
82,38.5806
83,36.6452
84,36.7742
85,37.6774
86,38.7742
87,40.5806
88,42.0645
89,42.7742
90,42.7097
91,43.5484
92,43.7419
93,43.8710
94,44.4516
95,45.3548
96,45.6774
97,45.9355
98,45.2258
99,46.0000
100,46.6452
101,47.2903
102,47.2903
103,46.4516
104,45.3548
105,43.8064
106,43.5484
107,44.0645
108,44.3226
109,44.1936
110,44.8387
111,45.2258
112,44.8387
113,44.8387
114,42.9032
115,41.2903
116,40.0645
117,38.5161
118,38.0645
119,37.5484
120,36.9677
121,37.4194
122,37.0968
123,36.6452
124,37.0968
125,37.6129
126,37.8710
127,37.7419
128,36.9677
129,36.5161
130,37.2903
131,37.4194
132,36.5806
133,35.0323
134,33.4194
135,32.6452
136,34.4516
137,35.6774
138,36.6452
139,35.8064
140,35.0968
141,36.7742
142,36.5806
143,38.2581
144,41.6129
145,44.3871
146,44.5806
147,44.4516
148,45.1613
149,45.4194
150,44.9032
151,44.0000
152,41.5484
153,38.6452
154,35.6129
155,35.2903
156,34.5161
157,34.1290
158,34.2581
159,36.1290
160,37.3548
161,38.9032
162,40.7742
163,41.6774
164,42.7742
165,43.9355
166,44.0645
167,44.8387
168,44.9677
169,44.1936
170,43.7419
171,43.5484
172,43.6774
173,44.2581
174,43.3548
175,43.7419
176,43.2258
177,42.9677
178,41.4839
179,39.8710
180,38.7742
181,37.0323
182,36.8387
183,37.2258
184,36.1936
185,34.9677
186,35.5484
187,35.6129
188,36.0000
189,36.5806
190,37.4194
191,37.9355
192,38.8387
193,38.1936
194,36.7097
195,37.1613
196,36.3226
197,37.0968
198,36.6452
199,35.8064
200,35.2258
201,36.3871
202,37.3548
203,37.1613
204,36.7097
205,37.5484
206,37.8064
207,38.7742
208,39.7419
209,42.3871
210,43.4194
211,44.1936
212,44.3871
213,44.0645
214,44.3871
215,44.1290
216,44.6452
217,45.4194
218,45.3548
219,46.1290
220,44.5161
221,43.8710
222,42.5161
223,40.7742
224,38.8387
225,37.8064
226,37.8064
227,37.0968
228,36.0000
229,36.2581
230,34.9032
231,33.9355
232,34.1936
233,34.9032
234,36.3226
235,37.4194
236,37.6774
237,38.0645
238,39.7419
239,40.5806
240,40.4516
241,40.7742
242,41.1613
243,41.4839
244,40.4516
245,39.6774
246,39.4194
247,39.0968
248,39.0323
249,38.4516
250,35.4194
251,34.9032
252,34.3871
253,33.2903
254,32.7742
255,32.1936
256,32.2581
257,32.9677
258,32.8387
259,33.1613
260,34.7742
261,36.7097
262,38.7097
263,40.5806
264,40.7742
265,41.7419
266,42.7097
267,43.4194
268,43.5484
269,43.8710
270,44.9677
271,44.6452
272,45.2903
273,44.5806
274,43.7419
275,44.0645
276,43.6129
277,43.1613
278,42.3226
279,41.1613
280,40.1290
281,39.4194
282,39.0323
283,39.2258
284,39.9355
